Country,Out_Degree,Out_Centrality,Out_Strength
Ireland,201,1.0,777905.94797
India,200,0.9950248756218906,538856.6918169999
United States,200,0.9950248756218906,1549713.481034
Singapore,200,0.9950248756218906,422331.64104
Brazil,199,0.9900497512437811,59495.986466999995
China (People’s Republic of),199,0.9900497512437811,438079.709882
United Kingdom,198,0.9850746268656716,917771.4289719999
Switzerland,198,0.9850746268656716,229442.021591
Luxembourg,198,0.9850746268656716,252541.33857000002
Korea,197,0.9800995024875622,105273.139661
Japan,197,0.9800995024875622,253436.394507
Canada,195,0.9701492537313433,177040.043523
Israel,194,0.9651741293532339,140589.756851
France,194,0.9651741293532339,407989.834713
Germany,193,0.9601990049751243,545094.490626
United Arab Emirates,192,0.9552238805970149,107902.631997
Hong Kong (China),191,0.9502487562189055,88494.41432099999
Norway,189,0.9402985074626866,43698.745318
Spain,189,0.9402985074626866,152033.727996
Australia,188,0.9353233830845771,49458.043267
Philippines,185,0.9203980099502488,61957.041301
Thailand,185,0.9203980099502488,30551.660555000002
Netherlands,185,0.9203980099502488,419973.352433
Chinese Taipei,182,0.9054726368159204,56233.580145
Malaysia,179,0.8905472636815921,29554.26992
Indonesia,179,0.8905472636815921,26519.084968
Sweden,178,0.8855721393034826,151686.90684399998
Ukraine,175,0.8706467661691543,20580.12254
Türkiye,174,0.8656716417910447,28467.118275
Bahrain,173,0.8606965174129353,17870.998973
Belgium,172,0.8557213930348259,191242.474911
Cuba,170,0.845771144278607,10149.306885
Kuwait,170,0.845771144278607,15069.963070000002
Denmark,169,0.8407960199004975,73700.442087
Colombia,167,0.8308457711442786,10706.511604
Finland,163,0.8109452736318408,46975.124741
Qatar,163,0.8109452736318408,8597.728327
South Africa,162,0.8059701492537313,13114.803042
Latvia,162,0.8059701492537313,7206.7964790000005
Morocco,162,0.8059701492537313,15634.284826000001
Austria,160,0.7960199004975125,77727.207916
Ghana,159,0.7910447761194029,12102.447811
Egypt,159,0.7910447761194029,7577.777111
Cayman Islands,159,0.7910447761194029,7068.217675000001
Italy,156,0.7761194029850746,132202.995128
Cyprus,155,0.7711442786069652,35756.329954
Uruguay,155,0.7711442786069652,7666.599013999999
Pakistan,152,0.7562189054726368,9003.541699
Mexico,152,0.7562189054726368,33544.430021
Tunisia,150,0.746268656716418,2360.219732
Saudi Arabia,149,0.7412935323383084,9650.333065
Viet Nam,149,0.7412935323383084,8508.060394
Malta,147,0.7313432835820896,31268.056331
Portugal,147,0.7313432835820896,31014.931105
Kazakhstan,145,0.7213930348258707,5827.236198
Chile,142,0.7064676616915423,7721.2062829999995
Greece,141,0.7014925373134329,13562.283741000001
Macau (China),141,0.7014925373134329,7516.962044
Poland,139,0.6915422885572139,102286.861983
Croatia,138,0.6865671641791045,9517.258051
Panama,135,0.6716417910447762,5626.271351
Lebanon,133,0.6616915422885572,4008.686497
Bulgaria,133,0.6616915422885572,16917.797837
New Zealand,133,0.6616915422885572,10448.211989
Romania,132,0.6567164179104478,43109.7859
Russia,131,0.6517412935323383,24921.733223
Algeria,129,0.6417910447761194,2979.241606
Bahamas,129,0.6417910447761194,4355.477978
Iran,128,0.6368159203980099,2971.88643
Azerbaijan,127,0.6318407960199005,3037.699081
Kenya,126,0.6268656716417911,3539.558889
Czechia,126,0.6268656716417911,37441.912304
Nigeria,125,0.6218905472636815,3297.225598
Guatemala,123,0.6119402985074627,3244.729288
Uzbekistan,122,0.6069651741293532,2227.6940839999997
Serbia,122,0.6069651741293532,16366.387915
Georgia,121,0.6019900497512438,2675.917505
Sri Lanka,120,0.5970149253731343,2744.457919
Mauritius,118,0.5870646766169154,3546.202452
Iraq,117,0.582089552238806,3596.5464410000004
Democratic People’s Republic of Korea,116,0.5771144278606966,3100.36611
Hungary,115,0.572139303482587,30031.030109
Moldova,114,0.5671641791044776,1800.9207390000001
Argentina,114,0.5671641791044776,16940.231978
Oman,111,0.5522388059701493,2050.1404549999997
Afghanistan,109,0.5422885572139303,3273.88997
Turkmenistan,109,0.5422885572139303,1744.1579769999998
Estonia,108,0.5373134328358209,14619.28285
Armenia,107,0.5323383084577115,2221.4547390000002
Dominican Republic,106,0.527363184079602,3555.240266
Lithuania,104,0.5174129353233831,15458.752375
North Macedonia,104,0.5174129353233831,2442.352853
Honduras,103,0.5124378109452736,981.315356
Peru,102,0.5074626865671642,2244.836183
Iceland,100,0.4975124378109453,3026.35889
Djibouti,99,0.4925373134328358,1146.196197
Bermuda,98,0.48756218905472637,1862.730028
Cameroon,96,0.47761194029850745,1389.155821
Seychelles,95,0.472636815920398,1435.408103
Togo,95,0.472636815920398,860.529915
Tanzania,92,0.4577114427860697,1021.8295420000001
Slovenia,92,0.4577114427860697,8552.302469
Senegal,91,0.4527363184079602,859.8947479999999
Slovak Republic,90,0.44776119402985076,11736.627011
Ethiopia,89,0.4427860696517413,1208.8740540000001
Myanmar,89,0.4427860696517413,878.281158
Costa Rica,89,0.4427860696517413,17207.10388
Kyrgyzstan,88,0.43781094527363185,811.207587
Jordan,81,0.40298507462686567,829.19941
Libya,80,0.39800995024875624,1321.260178
El Salvador,80,0.39800995024875624,1654.006834
Bangladesh,80,0.39800995024875624,4129.815917
Madagascar,79,0.39303482587064675,786.9538490000001
Ecuador,79,0.39303482587064675,927.842846
Palestinian Authority or West Bank and Gaza Strip,79,0.39303482587064675,498.991386
Antigua and Barbuda,78,0.3880597014925373,1589.153306
Jamaica,76,0.3781094527363184,1234.60981
Belarus,75,0.373134328358209,6717.103046
Liberia,74,0.3681592039800995,572.786159
Montenegro,73,0.36318407960199006,1065.884088
Turks and Caicos Islands,72,0.3582089552238806,901.432082
Uganda,72,0.3582089552238806,591.698875
Nicaragua,71,0.35323383084577115,788.798462
Belize,71,0.35323383084577115,804.158683
Malawi,70,0.3482587064676617,342.876668
Paraguay,69,0.34328358208955223,1317.548852
Curaçao,68,0.3383084577114428,686.381714
Burundi,68,0.3383084577114428,233.360954
Albania,65,0.32338308457711445,1814.01051
Bosnia and Herzegovina,65,0.32338308457711445,1092.428572
Cambodia,65,0.32338308457711445,875.357433
Mali,64,0.31840796019900497,392.770042
Yemen,62,0.30845771144278605,471.413545
Namibia,62,0.30845771144278605,569.147902
Côte d’Ivoire,62,0.30845771144278605,345.911225
Mongolia,61,0.3034825870646766,604.041882
Mozambique,61,0.3034825870646766,634.117262
Angola,60,0.29850746268656714,744.3428690000001
Botswana,59,0.2935323383084577,394.096372
Trinidad and Tobago,58,0.2885572139303483,561.02552
Aruba,57,0.2835820895522388,388.329294
Burkina Faso,56,0.27860696517412936,425.66981100000004
Dominica,56,0.27860696517412936,353.329272
Sudan,55,0.2736318407960199,522.2027459999999
Syrian Arab Republic,54,0.26865671641791045,495.469781
Benin,53,0.263681592039801,438.90365699999995
Gambia,53,0.263681592039801,805.055202
Somalia,53,0.263681592039801,408.505452
Rwanda,50,0.24875621890547264,336.894696
Eritrea,49,0.24378109452736318,229.756545
Guinea,49,0.24378109452736318,413.027442
Congo,48,0.23880597014925373,276.566259
Barbados,48,0.23880597014925373,401.223099
Lao People’s Democratic Republic,47,0.23383084577114427,314.673522
Papua New Guinea,47,0.23383084577114427,531.939304
Niger,46,0.22885572139303484,206.690529
Suriname,45,0.22388059701492538,202.353795
Anguilla,44,0.21890547263681592,307.749029
Guyana,43,0.21393034825870647,913.108019
Equatorial Guinea,43,0.21393034825870647,110.02752199999999
New Caledonia,43,0.21393034825870647,388.342027
Mauritania,43,0.21393034825870647,226.68806899999998
Eswatini,43,0.21393034825870647,162.787681
Nepal,41,0.20398009950248755,424.132067
Guinea-Bissau,39,0.19402985074626866,163.584638
Bolivia,38,0.1890547263681592,192.33553999999998
Venezuela,38,0.1890547263681592,181.812473
Zambia,38,0.1890547263681592,239.397103
Maldives,37,0.18407960199004975,202.79362899999998
Grenada,36,0.1791044776119403,215.663213
Comoros,36,0.1791044776119403,201.316632
Sint Maarten,36,0.1791044776119403,188.739405
Saint Kitts and Nevis,36,0.1791044776119403,267.333076
Brunei Darussalam,35,0.17412935323383086,96.369458
Haiti,35,0.17412935323383086,149.48611499999998
Zimbabwe,34,0.1691542288557214,270.70173
Faroe Islands,33,0.16417910447761194,120.690134
Sierra Leone,32,0.15920398009950248,145.506071
Cabo Verde,30,0.14925373134328357,108.296156
Fiji,29,0.14427860696517414,159.444038
Samoa,28,0.13930348258706468,98.336298
Saint Lucia,26,0.12935323383084577,112.82282599999999
Saint Vincent and the Grenadines,22,0.10945273631840796,100.58398199999999
Chad,22,0.10945273631840796,98.698294
French Polynesia,21,0.1044776119402985,126.42175200000001
Tajikistan,20,0.09950248756218906,43.223452
Vanuatu,19,0.0945273631840796,51.067769
Solomon Islands,17,0.0845771144278607,38.617031
Central African Republic,16,0.07960199004975124,56.392146
Bhutan,16,0.07960199004975124,29.78578
Gabon,14,0.06965174129353234,21.065265
Sao Tome and Principe,14,0.06965174129353234,25.877188
Democratic Republic of the Congo,13,0.06467661691542288,23.571581000000002
Tonga,12,0.05970149253731343,36.799821
Lesotho,9,0.04477611940298507,67.021326
Montserrat,8,0.03980099502487562,17.255945
Timor-Leste,7,0.03482587064676617,11.401918
Kiribati,1,0.004975124378109453,1.591032
Tuvalu,1,0.004975124378109453,0.792896
World,0,0.0,0.0
Rest of the world,0,0.0,0.0
Kosovo,0,0.0,0.0
